lgd_state_code,lgd_district_code,district_name,state_name,census_2011_district_code,notes
32,562,Malappuram,Kerala,592.0,
19,316,Malda,West Bengal,332.0,
3,737,Malerkotla,Punjab,53.0,"boundary_inherited=True; Malerkotla district was formed from the Sangrur district in Punjab, India on May 14, 2021"
21,364,Malkangiri,Odisha,399.0,
15,266,Mamit,Mizoram,281.0,
36,684,Mancherial,Telangana,532.0,"boundary_inherited=True; Mancherial district was formed in 2016 when the Adilabad district was reorganized, creating four districts in total"
2,22,Mandi,Himachal Pradesh,27.0,
23,415,Mandla,Madhya Pradesh,454.0,
23,416,Mandsaur,Madhya Pradesh,433.0,
29,544,Mandya,Karnataka,573.0,
22,760,Manendragarh-Chirmiri-Bharatpur(M C B),Chhattisgarh,400.0,"boundary_inherited=True; on September 9, 2022, as the 32nd district in the state. It was created by splitting the Korea district."
11,226,Mangan,Sikkim,241.0,Formerly North district
3,37,Mansa,Punjab,47.0,
18,296,Marigaon,Assam,304.0,
9,167,Mathura,Uttar Pradesh,145.0,
9,168,Mau,Uttar Pradesh,192.0,
23,766,MAUGANJ,Madhya Pradesh,430.0,"boundary_inherited=True (new LGD district); Mauganj is a new district in Madhya Pradesh that was created on August 15, 2023, when it was separated from the Rewa district."
33,735,Mayiladuthurai,Tamil Nadu,618.0,"boundary_inherited=True; Mayiladuthurai was formed from the Nagapattinam district in Tamil Nadu, India on December 28, 2020"
21,365,Mayurbhanj,Odisha,376.0,
36,513,Medak,Telangana,535.0,
36,700,Medchal Malkajgiri,Telangana,537.0,boundary_inherited=True; The Medchal-Malkajgiri district was created in 2014 when the Rangareddy district was reorganized to form the new Vikarabad district and Medchal-Malkajgiri district
9,169,Meerut,Uttar Pradesh,138.0,
9,170,Mirzapur,Uttar Pradesh,199.0,
3,38,Moga,Punjab,42.0,
22,761,Mohla-Manpur-Ambagarh Chouki,Chhattisgarh,408.0,"boundary_inherited=True; The Mohla-Manpur-Ambagarh Chowki district was formed on September 2, 2022, when it was split from the Rajnandgaon district in the state of Chhattisgarh"
13,246,Mokokchung,Nagaland,262.0,
13,247,Mon,Nagaland,261.0,
9,171,Moradabad,Uttar Pradesh,135.0,
24,673,Morbi,Gujarat,,"parent_census_2011_code=multiple; boundary_inherited=True; The district was created from parts of the Rajkot, Surendranagar, and Jamnagar districts."
23,417,Morena,Madhya Pradesh,419.0,
36,720,Mulugu,Telangana,540.0,"boundary_inherited=True; The Mulugu district in Telangana, India was created in 2019 when the Jayashankar Bhupalpally district was split. Before this, Mulugu was part of the Warangal district."
27,482,Mumbai,Maharashtra,519.0,
27,483,Mumbai Suburban,Maharashtra,518.0,
22,647,Mungeli,Chhattisgarh,406.0,"boundary_inherited=True; Mungeli district was formed in January 2012, when it was carved out of Bilaspur district in Chhattisgarh."
10,207,Munger,Bihar,226.0,
19,319,Murshidabad,West Bengal,333.0,
9,172,Muzaffarnagar,Uttar Pradesh,133.0,
10,208,Muzaffarpur,Bihar,216.0,
29,545,Mysuru,Karnataka,577.0,
21,366,Nabarangpur,Odisha,397.0,
19,320,Nadia,West Bengal,336.0,
18,297,Nagaon,Assam,305.0,
33,579,Nagapattinam,Tamil Nadu,618.0,
36,694,Nagarkurnool,Telangana,538.0,"boundary_inherited=True; Nagarkurnool district was formed on October 11, 2016 from the Mahbubnagar district in the state of Telangana, India."
8,110,Nagaur,Rajasthan,112.0,
27,484,Nagpur,Maharashtra,505.0,
5,51,Nainital,Uttarakhand,66.0,
10,209,Nalanda,Bihar,229.0,
18,298,Nalbari,Assam,323.0,
36,514,Nalgonda,Telangana,539.0,
33,580,Namakkal,Tamil Nadu,609.0,
11,227,Namchi,Sikkim,243.0,Formerly South district
12,678,Namsai,Arunachal Pradesh,259.0,"boundary_inherited=True; Namsai is a district in Arunachal Pradesh, India that was formed in 2014 when the Lohit district was bifurcated for the third time"
27,485,Nanded,Maharashtra,511.0,
27,486,Nandurbar,Maharashtra,497.0,
28,755,Nandyal,Andhra Pradesh,552.0,"boundary_inherited=True; It was created from parts of the Kurnool district,"
36,721,Narayanpet,Telangana,538.0,"boundary_inherited=True; Narayanpet district was formed from the Mahabubnagar district in the state of Telangana, India in 2019:"
22,637,Narayanpur,Chhattisgarh,415.0,
24,452,Narmada,Gujarat,487.0,
23,409,Narmadapuram,Madhya Pradesh,449.0,Name changed from Hosahngabad to Narmadapuram
23,418,Narsimhapur,Madhya Pradesh,452.0,
27,487,Nashik,Maharashtra,516.0,
24,453,Navsari,Gujarat,490.0,
10,210,Nawada,Bihar,237.0,
21,367,Nayagarh,Odisha,385.0,
8,773,Neem Ka Thana,Rajasthan,,parent_census_2011_code=multiple; boundary_inherited=True (new LGD district); Neem Ka Thana district was formed in July 2023 from parts of the Sikar and Jhunjhunu districts in Rajasthan
23,419,Neemuch,Madhya Pradesh,432.0,
7,79,New Delhi,Delhi,94.0,
35,603,Nicobars,Andaman And Nicobar Islands,638.0,
36,680,Nirmal,Telangana,532.0,"boundary_inherited=True; Nirmal district was formed from the erstwhile Adilabad district in Telangana, India in 2016."
13,764,Niuland,Nagaland,265.0,"boundary_inherited=True (new LGD district); The Niuland District was formed from the Dimapur District in Nagaland on December 18, 2021"
23,722,Niwari,Madhya Pradesh,424.0,"boundary_inherited=True; Niwari became the 52nd district of Madhya Pradesh on October 1, 2018, when it was separated from Tikamgarh district."
36,516,Nizamabad,Telangana,533.0,
13,736,Noklak,Nagaland,267.0,"boundary_inherited=True; Noklak was carved out of the Tuensang district to become the 12th district of Nagaland in India on December 21, 2017."
14,714,Noney,Manipur,272.0,boundary_inherited=True; Kangpokpi from Senapati
7,80,North,Delhi,91.0,
19,303,North 24 Parganas,West Bengal,337.0,
35,632,North And Middle Andaman,Andaman And Nicobar Islands,639.0,
7,81,North East,Delhi,92.0,
17,656,North Garo Hills,Meghalaya,294.0,"boundary_inherited=True; July 27, 2012, when it was carved out of the East Garo Hills district."
30,551,North Goa,Goa,585.0,
16,270,North Tripura,Tripura,292.0,
7,82,North West,Delhi,90.0,
28,749,Ntr,Andhra Pradesh,547.0,boundary_inherited=True; Split from Krishna district
21,368,Nuapada,Odisha,394.0,
6,604,Nuh,Haryana,87.0,Name changed from Mewat to Nuh district
12,723,Pakke Kessang,Arunachal Pradesh,247.0,"boundary_inherited=True; The district used to be a part of the neighboring district, East Kameng"
20,337,Pakur,Jharkhand,353.0,
11,741,Pakyong,Sikkim,244.0,"boundary_inherited=True; The Pakyong district in Sikkim, India was created in 2021 from three subdivisions of the former East Sikkim district"
32,563,Palakkad,Kerala,593.0,
20,338,Palamu,Jharkhand,358.0,
27,665,Palghar,Maharashtra,517.0,"boundary_inherited=True; Palghar was formed as the 36th district of Maharashtra on August 1, 2014, when it was carved out of the Thane district"
8,111,Pali,Rajasthan,118.0,
28,751,Palnadu,Andhra Pradesh,548.0,"boundary_inherited=True; formed on April 4, 2022, as a result of the division of the Guntur district into three districts:"
6,619,Palwal,Haryana,89.0,
24,454,Panch Mahals,Gujarat,484.0,
6,70,Panchkula,Haryana,69.0,
23,785,Pandhurna,Madhya Pradesh,455.0,"boundary_inherited=True (new LGD district); Pandhurna is a new district in Madhya Pradesh, India that was formed in 2023 by merging parts of the Chhindwara district"
6,71,Panipat,Haryana,75.0,
23,420,Panna,Madhya Pradesh,426.0,
12,237,Papum Pare,Arunachal Pradesh,248.0,
27,489,Parbhani,Maharashtra,513.0,
28,743,Parvathipuram Manyam,Andhra Pradesh,,parent_census_2011_code=multiple; boundary_inherited=True; The district was formed by merging parts of the neighboring Vizianagaram and Srikakulam districts
19,704,Paschim Bardhaman,West Bengal,335.0,"boundary_inherited=True; Paschim Bardhaman was formed on April 7, 2017, when the Bardhaman district was split into two districts, Paschim Bardhaman and Purba Bardhaman."
19,318,Paschim Medinipur,West Bengal,344.0,
10,211,Pashchim Champaran,Bihar,203.0,
24,455,Patan,Gujarat,470.0,
32,564,Pathanamthitta,Kerala,599.0,
3,662,Pathankot,Punjab,35.0,"boundary_inherited=True; The Pathankot district was formed on July 27, 2011, when the Government of Punjab carved it out of the Gurdaspur district."
3,41,Patiala,Punjab,48.0,
10,212,Patna,Bihar,230.0,
5,52,Pauri Garhwal,Uttarakhand,61.0,referred to as Garhwal
36,682,Peddapalli,Telangana,534.0,boundary_inherited=True; Peddapalli district was formed in 2016 from the Karimnagar district as part of a reorganization of districts in Telangana
33,581,Perambalur,Tamil Nadu,615.0,
13,613,Peren,Nagaland,271.0,
8,772,Phalodi,Rajasthan,113.0,"boundary_inherited=True (new LGD district); The Phalodi district was established on August 7, 2023, and was carved out of the Jodhpur district"
13,248,Phek,Nagaland,266.0,
14,715,Pherzawl,Manipur,274.0,boundary_inherited=True; Pherzawl from Churachandpur
9,173,Pilibhit,Uttar Pradesh,151.0,
5,53,Pithoragarh,Uttarakhand,62.0,
34,600,Pondicherry,Puducherry,635.0,
1,10,Poonch,Jammu And Kashmir,5.0,
24,456,Porbandar,Gujarat,478.0,
28,517,Prakasam,Andhra Pradesh,549.0,
8,629,Pratapgarh,Rajasthan,131.0,"boundary_inherited=True; Created on 26 January 2008, carved out from the erstwhile tehsils of Chittorgarh, Udaipur and Banswara districts"
9,174,Pratapgarh,Uttar Pradesh,173.0,
9,120,Prayagraj,Uttar Pradesh,175.0,Allahabad name changed to Prayagraj
33,582,Pudukkottai,Tamil Nadu,621.0,
1,11,Pulwama,Jammu And Kashmir,12.0,
27,490,Pune,Maharashtra,521.0,
19,306,Purba Bardhaman,West Bengal,335.0,
19,317,Purba Medinipur,West Bengal,345.0,
10,213,Purbi Champaran,Bihar,204.0,
21,369,Puri,Odisha,387.0,
10,214,Purnia,Bihar,211.0,
19,321,Purulia,West Bengal,340.0,
9,175,Rae Bareli,Uttar Pradesh,158.0,
29,546,Raichur,Karnataka,559.0,
27,491,Raigad,Maharashtra,520.0,
22,386,Raigarh,Chhattisgarh,403.0,
22,387,Raipur,Chhattisgarh,410.0,
23,421,Raisen,Madhya Pradesh,446.0,
36,683,Rajanna Sircilla,Telangana,534.0,"boundary_inherited=True; The Rajanna Sircilla district was formed in Telangana, India on October 11, 2016, when it was carved out of the erstwhile Karimnagar district"
23,422,Rajgarh,Madhya Pradesh,442.0,
24,457,Rajkot,Gujarat,476.0,
22,388,Rajnandgaon,Chhattisgarh,408.0,
1,12,Rajouri,Jammu And Kashmir,6.0,
8,112,Rajsamand,Rajasthan,123.0,
29,631,Ramanagara,Karnataka,584.0,
33,583,Ramanathapuram,Tamil Nadu,626.0,
1,621,Ramban,Jammu And Kashmir,17.0,
20,607,Ramgarh,Jharkhand,361.0,
9,176,Rampur,Uttar Pradesh,136.0,
20,339,Ranchi,Jharkhand,364.0,
36,518,Ranga Reddy,Telangana,537.0,
33,731,Ranipet,Tamil Nadu,605.0,"boundary_inherited=True; Ranipet district was formed by splitting the Vellore district in Tamil Nadu, India in 2019"
23,423,Ratlam,Madhya Pradesh,434.0,
27,492,Ratnagiri,Maharashtra,528.0,
21,370,Rayagada,Odisha,396.0,
1,627,Reasi,Jammu And Kashmir,20.0,
23,424,Rewa,Madhya Pradesh,430.0,
6,72,Rewari,Haryana,85.0,
17,276,Ri Bhoi,Meghalaya,297.0,
6,73,Rohtak,Haryana,82.0,
10,215,Rohtas,Bihar,234.0,
5,54,Rudra Prayag,Uttarakhand,58.0,
3,42,Rupnagar,Punjab,51.0,
24,458,Sabar Kantha,Gujarat,472.0,
23,425,Sagar,Madhya Pradesh,427.0,
9,177,Saharanpur,Uttar Pradesh,132.0,
10,216,Saharsa,Bihar,214.0,
20,340,Sahebganj,Jharkhand,352.0,
15,727,Saitual,Mizoram,,"parent_census_2011_code=multiple; boundary_inherited=True; The Saitual district in Mizoram, India was formed from the existing administrative districts of Aizawl and Champhai"
22,762,Sakti,Chhattisgarh,405.0,boundary_inherited=True; The district was created by merging four blocks from the Janjgir-Champa district:
33,584,Salem,Tamil Nadu,608.0,
8,777,Salumbar,Rajasthan,130.0,"boundary_inherited=True (new LGD district); Salumbar is a new district that was carved out of the erstwhile Udaipur district in Rajasthan on August 7, 2023."
10,217,Samastipur,Bihar,221.0,
1,624,Samba,Jammu And Kashmir,22.0,"boundary_inherited=True; Created on October 27, 2006, formed from an area that was part of Jammu district and Kathua district"
21,371,Sambalpur,Odisha,372.0,
9,659,Sambhal,Uttar Pradesh,,parent_census_2011_code=multiple; boundary_inherited=True; Sambhal District at the time of creation was made from Two Tehsils of Moradabad District and one Tehsil of Gunnaur from Badaun District
8,779,Sanchore,Rajasthan,116.0,"boundary_inherited=True (new LGD district); Sanchore district was formed on August 7, 2023, when it separated from the Jalore district to become one of 19 new districts in Rajasthan."
36,691,Sangareddy,Telangana,535.0,"boundary_inherited=True; the Sangareddy district in Telangana, India was carved out of the former Medak district"
27,493,Sangli,Maharashtra,531.0,
3,43,Sangrur,Punjab,53.0,
9,178,Sant Kabir Nagar,Uttar Pradesh,186.0,
20,341,Saraikela Kharsawan,Jharkhand,369.0,
10,218,Saran,Bihar,219.0,
22,763,Sarangarh-Bilaigarh,Chhattisgarh,,parent_census_2011_code=multiple; boundary_inherited=True; It was created by splitting the districts of Raigarh and Balodabazar-Bhatapara.
3,608,SAS Nagar,Punjab,52.0,Also Sahibzada Ajit Singh Nagar
27,494,Satara,Maharashtra,527.0,
23,426,Satna,Madhya Pradesh,429.0,
8,113,Sawai Madhopur,Rajasthan,108.0,
23,427,Sehore,Madhya Pradesh,445.0,
14,257,Senapati,Manipur,272.0,
23,428,Seoni,Madhya Pradesh,456.0,
16,653,Sepahijala,Tripura,289.0,boundary_inherited=True
15,268,Serchhip,Mizoram,285.0,
7,671,Shahdara,Delhi,,parent_census_2011_code=multiple; boundary_inherited=True; Two new districts  Southeast and Shahdara  were carved out and notified from the nine districts
23,429,Shahdol,Madhya Pradesh,460.0,
3,40,Shahid Bhagat Singh Nagar,Punjab,39.0,
9,180,Shahjahanpur,Uttar Pradesh,152.0,
8,780,Shahpura,Rajasthan,122.0,"boundary_inherited=True (new LGD district); Shahpura district was formed from the Bhilwara district in the Indian state of Rajasthan on March 17, 2023."
23,430,Shajapur,Madhya Pradesh,436.0,
13,765,Shamator,Nagaland,267.0,"boundary_inherited=True (new LGD district); Shamator district was formed from the Tuensang district in the Indian state of Nagaland on January 19, 2022"
9,660,Shamli,Uttar Pradesh,133.0,"boundary_inherited=True; Shamli district in Uttar Pradesh, India was formed from the Muzaffarnagar district in September 2011."
10,219,Sheikhpura,Bihar,228.0,
10,220,Sheohar,Bihar,205.0,
23,431,Sheopur,Madhya Pradesh,418.0,
12,725,Shi Yomi,Arunachal Pradesh,250.0,boundary_inherited=True; created in 2018 by splitting the West Siang district
2,23,Shimla,Himachal Pradesh,33.0,
29,547,Shivamogga,Karnataka,568.0,
23,432,Shivpuri,Madhya Pradesh,423.0,
1,625,Shopian,Jammu And Kashmir,13.0,
9,181,Shrawasti,Uttar Pradesh,181.0,
15,267,Siaha,Mizoram,288.0,
12,679,Siang,Arunachal Pradesh,,parent_census_2011_code=multiple; boundary_inherited=True; This district was created in 2015 by splitting the West Siang and East Siang districts
9,182,Siddharthnagar,Uttar Pradesh,184.0,
36,692,Siddipet,Telangana,,"parent_census_2011_code=multiple; boundary_inherited=True; The Siddipet district was formed from parts of the Medak, Karimnagar, and Warangal districts in Telangana."
23,433,Sidhi,Madhya Pradesh,462.0,
8,114,Sikar,Rajasthan,111.0,
20,342,Simdega,Jharkhand,367.0,
27,495,Sindhudurg,Maharashtra,529.0,
23,638,Singrauli,Madhya Pradesh,463.0,
2,24,Sirmaur,Himachal Pradesh,32.0,
8,115,Sirohi,Rajasthan,117.0,
6,74,Sirsa,Haryana,79.0,
10,221,Sitamarhi,Bihar,206.0,
9,183,Sitapur,Uttar Pradesh,154.0,
33,585,Sivaganga,Tamil Nadu,622.0,
18,300,Sivasagar,Assam,311.0,
10,222,Siwan,Bihar,218.0,
2,25,Solan,Himachal Pradesh,31.0,
27,496,Solapur,Maharashtra,526.0,
9,184,Sonbhadra,Uttar Pradesh,200.0,
21,372,Sonepur,Odisha,392.0,Also known as Subarnapur
6,75,Sonipat,Haryana,76.0,
18,301,Sonitpur,Assam,306.0,
11,742,Soreng,Sikkim,242.0,boundary_inherited=True; Soreng was formed from the erstwhile West Sikkim district
7,83,South,Delhi,98.0,
19,304,South 24 Parganas,West Bengal,343.0,
35,602,South Andamans,Andaman And Nicobar Islands,640.0,
7,670,South East,Delhi,,parent_census_2011_code=multiple; boundary_inherited=True; Two new districts  Southeast and Shahdara  were carved out and notified from the nine districts
17,277,South Garo Hills,Meghalaya,295.0,
30,552,South Goa,Goa,586.0,
18,707,South Salmara Mancachar,Assam,301.0,boundary_inherited=True; The South Salmara Mankachar district was formed in 2016 when the Old Dhubri district was split into two.
16,271,South Tripura,Tripura,290.0,
7,84,South West,Delhi,97.0,
17,663,South West Garo Hills,Meghalaya,,parent_census_2011_code=multiple; boundary_inherited=True; The SWGH district was carved out of the West Garo Hills and North Garo Hills districts.
17,658,South West Khasi Hills,Meghalaya,296.0,"boundary_inherited=True; The South West Khasi Hills district was formed on August 3, 2012, when it was carved out of the West Khasi Hills district."
3,39,Sri Muktsar Sahib,Punjab,44.0,Name changed from Mukatsar to Sri Mukatsar Sahib
28,515,Sri Potti Sriramulu Nellore,Andhra Pradesh,550.0,
28,754,Sri Sathya Sai,Andhra Pradesh,553.0,boundary_inherited=True; from erstwhile Ananthapuramu district
28,519,Srikakulam,Andhra Pradesh,542.0,
1,13,Srinagar,Jammu And Kashmir,10.0,
22,642,Sukma,Chhattisgarh,416.0,"boundary_inherited=True; Sukma is a district in the state of Chhattisgarh, India that was newly formed on January 16, 2012. It was carved out of Dantewada district"
9,185,Sultanpur,Uttar Pradesh,179.0,
21,373,Sundargarh,Odisha,374.0,
10,223,Supaul,Bihar,208.0,
22,648,Surajpur,Chhattisgarh,401.0,"boundary_inherited=True; It was formed by dividing the Surguja district,"
24,459,Surat,Gujarat,492.0,
24,460,Surendranagar,Gujarat,475.0,
22,389,Surguja,Chhattisgarh,401.0,
36,696,Suryapet,Telangana,539.0,"boundary_inherited=True; The Suryapet district was formed from the Nalgonda district in the state of Telangana, India."
14,258,Tamenglong,Manipur,273.0,
18,756,Tamulpur,Assam,324.0,"boundary_inherited=True; Tamulpur is a district in the state of Assam, India that was recreated on August 25, 2023. The district was originally formed on January 23, 2022, but was merged with Baksa district on December 30, 2022, and ceased to exist on January 1, 2023. The Assam government announced the decision to recreate the district on August 25, 2023, making the total number of districts in Assam 35."
24,641,Tapi,Gujarat,493.0,
3,609,Tarn Taran,Punjab,50.0,
12,238,Tawang,Arunachal Pradesh,245.0,
5,55,Tehri Garhwal,Uttarakhand,59.0,
14,716,Tengnoupal,Manipur,280.0,"boundary_inherited=True; Tengnoupal, bifurcated from Channel district,"
33,733,Tenkasi,Tamil Nadu,628.0,"boundary_inherited=True; Tenkasi district was formed from the Tirunelveli district in Tamil Nadu, India in 2019"
27,497,Thane,Maharashtra,517.0,
33,586,Thanjavur,Tamil Nadu,620.0,
33,587,The Nilgiris,Tamil Nadu,611.0,
33,588,Theni,Tamil Nadu,624.0,
33,589,Thiruvallur,Tamil Nadu,602.0,
32,565,Thiruvananthapuram,Kerala,601.0,
33,590,Thiruvarur,Tamil Nadu,619.0,
33,594,Thoothukkudi,Tamil Nadu,627.0,
14,259,Thoubal,Manipur,276.0,
32,566,Thrissur,Kerala,594.0,
23,434,Tikamgarh,Madhya Pradesh,424.0,
18,302,Tinsukia,Assam,309.0,
12,239,Tirap,Arunachal Pradesh,254.0,
33,591,Tiruchirappalli,Tamil Nadu,614.0,
33,592,Tirunelveli,Tamil Nadu,628.0,
33,732,Tirupathur,Tamil Nadu,605.0,"boundary_inherited=True; Tirupattur district was formed in 2019 by splitting off three taluks from Vellore district in Tamil Nadu, India"
28,752,Tirupati,Andhra Pradesh,,parent_census_2011_code=multiple; boundary_inherited=True; The new district was created from parts of the former Chittoor and Nellore districts:
33,634,Tiruppur,Tamil Nadu,633.0,
33,593,Tiruvannamalai,Tamil Nadu,606.0,
8,116,Tonk,Rajasthan,120.0,
13,757,Tseminyu,Nagaland,270.0,"boundary_inherited=True; Tseminyu was created as the 13th district of Nagaland on December 18, 2021, from the former Tseminyü sub-division of Kohima district"
13,249,Tuensang,Nagaland,267.0,
29,548,Tumakuru,Karnataka,571.0,
8,117,Udaipur,Rajasthan,130.0,
18,617,Udalguri,Assam,326.0,
5,56,Udam Singh Nagar,Uttarakhand,67.0,
1,14,Udhampur,Jammu And Kashmir,19.0,
29,549,Udupi,Karnataka,569.0,
23,435,Ujjain,Madhya Pradesh,435.0,
14,260,Ukhrul,Manipur,279.0,
23,436,Umaria,Madhya Pradesh,431.0,
2,26,Una,Himachal Pradesh,29.0,
16,655,Unakoti,Tripura,292.0,boundary_inherited=True; decision to further bifurcate North Tripura District was accepted and the district “UNAKOTI DISTRICT” was created
9,186,Unnao,Uttar Pradesh,156.0,
12,240,Upper Siang,Arunachal Pradesh,252.0,
12,241,Upper Subansiri,Arunachal Pradesh,249.0,
22,381,Uttar Bastar Kanker,Chhattisgarh,413.0,Name change to Uttar Bastar Kanker from Kanker
19,311,Uttar Dinajpur,West Bengal,330.0,
5,57,Uttar Kashi,Uttarakhand,56.0,
29,550,Uttara Kannada,Karnataka,563.0,
24,461,Vadodara,Gujarat,486.0,
10,224,Vaishali,Bihar,220.0,
24,462,Valsad,Gujarat,491.0,
9,187,Varanasi,Uttar Pradesh,197.0,
33,595,Vellore,Tamil Nadu,605.0,
23,437,Vidisha,Madhya Pradesh,443.0,
29,738,Vijayanagar,Karnataka,565.0,boundary_inherited=True; Vijayanagara was officially carved out of Ballari on 2 October 2021 to become the 31st district of the state with Hospet as the district headquarters.
29,530,Vijayapura,Karnataka,557.0,
36,698,Vikarabad,Telangana,537.0,boundary_inherited=True; The Medchal-Malkajgiri district was created in 2014 when the Rangareddy district was reorganized to form the new Vikarabad district and Medchal-Malkajgiri district
33,596,Viluppuram,Tamil Nadu,607.0,
33,597,Virudhunagar,Tamil Nadu,625.0,
28,520,Visakhapatnam,Andhra Pradesh,544.0,
28,521,Vizianagaram,Andhra Pradesh,543.0,
36,693,Wanaparthy,Telangana,538.0,"boundary_inherited=True; Wanaparthy is a district in the southern part of Telangana, India, that was formed in 2016 when the state was reorganized. It was carved out of the Mahabubnagar district."
36,522,Warangal,Telangana,540.0,
27,498,Wardha,Maharashtra,504.0,
27,499,Washim,Maharashtra,502.0,
32,567,Wayanad,Kerala,590.0,
7,85,West,Delhi,96.0,
17,278,West Garo Hills,Meghalaya,293.0,
28,523,West Godavari,Andhra Pradesh,546.0,
17,275,West Jaintia Hills,Meghalaya,299.0,
12,242,West Kameng,Arunachal Pradesh,246.0,
18,710,West Karbi Anglong,Assam,314.0,boundary_inherited=True; That was formed in 2016 from the existing Karbi Anglong district.
17,279,West Khasi Hills,Meghalaya,296.0,
12,243,West Siang,Arunachal Pradesh,250.0,
20,343,West Singhbhum,Jharkhand,368.0,
16,272,West Tripura,Tripura,289.0,
13,250,Wokha,Nagaland,264.0,
36,697,Yadadri Bhuvanagiri,Telangana,539.0,"boundary_inherited=True; The Yadadri Bhuvanagiri district was created from the former Nalgonda district in the state of Telangana, India."
29,635,Yadgir,Karnataka,580.0,
6,76,Yamunanagar,Haryana,71.0,
34,601,Yanam,Puducherry,634.0,
27,500,Yavatmal,Maharashtra,510.0,
28,504,YSR,Andhra Pradesh,551.0,
13,251,Zunheboto,Nagaland,263.0,
